ἆ|ah!
ὑποχεύς|trulla
ὑποχέω|to pour
ὑποχή|a round fishing-net
ὑπόχηλα|part of the hand near the fingers
ὑποχθόνιος|under the earth, subterranean
ὑποχλέομαι|to be rolled beneath
ὑποχλιαίνω|warm a little
ὑποχλίζω|lift with a lever
ὑπόχλοος|of a palish yellow
ὑποχλωρομέλας|rather dark green
ὑπόχλωρος|greenish yellow, pale
ὑποχοινικίς|base on which the χοινικίς rests, in a torsionengine
ὑποχοιρίς|swine's succory, cat's ear, Hypochoeris radicata
ὑπόχολος|somewhat bilious, yellowish
ὑποχολώδης|rather bilious
ὑποχονδριακός|of the ὑποχόνδριον
ὑποχόνδριος|under the cartilage of the breastbone
ὑποχορηγέω|to supply
ὑποχορηγία|a supplying, succour
ὕποχος|subject
ὑποχρεμετίζω|neigh to
ὑποχρέμπτομαι|expectorate gently
ὑπόχρεως|indebted, in debt
ὑποχρήστης|assistant oracle-giver
ὑπόχρισμα|foundation-layer
ὑποχριστέον|one must anoint
ὑποχρίω|to smear under
ὑπόχρονος|temporary
ὑπόχρυσος|containing a mixture
ὑποχρυσόω|gild
ὑποχρώννυμι|with high complexion
ὑποχυλίζω|extract the juice from
ὑπόχυμα|cataract
ὑποχύνω|cause cataract in
ὑπόχυσις|cataract
ὑποχυτήρ|vessel to pour
ὑπόχυτος|having
ὑποχωλαίνω|to be somewhat lame
ὑπόχωλος|somewhat lame
ὑποχωρέω|to go back, retire, recoil
ὑποχώρημα|a downward evacuation
ὑποχώρησις|a going back, retirement, retreat
ὑποχωρητικός|relaxing, evacuating
ὑποχωρίζω|separate, divide before
ὑποψάθυρος|somewhat crumbling
ὑποψαλάσσω|handle
ὑποψάλλω|touch softly
ὑπόψαμμος|having sand under
ὑπόψαρος|somewhat dappled
ὑποψαύω|touch below
ὑποψάω|scrape gently
ὑποψεκάζω|tipple a little
ὑποψελλίζω|lisp
ὑποψεύδομαι|lie a little
ὑποψηνίζω|prick from below
ὑποψήφισις|calculation
ὑποψήχω|scrape up
ὑποψία|suspicion, jealousy
ὑποψιαστικῶς|suspiciously
ὑποψιθυρίζω|whisper softly
ὑποψιθύρισμα|whispering
ὑπόψιλος|somewhat bald
ὑπόψιος|viewed from beneath
ὑποψοφέω|make a slight noise
ὑπόψυχρος|somewhat cold, coolish
ὑποψύχω|cool a little
ὑποψωνέω|to underbid in the purchase of victuals
ὑποψωρώδης|somewhat itchy
ὑπτιάζω|to bend oneself back, to carry one's head high
ὑπτίασμα|that which is laid back
ὑπτιασμός|a laying oneself backwards
ὑπτιαστέος|one must throw back
ὑπτιάω|lean backward
ὕπτιος|backwards, on one’s back
ὑπτιότης|supine position
ὑπτιόω|mid. to be turned on one’s back
ὑπῳάδιος|from the egg, hatched
ὑπώβολος|mortgaged
ὑπωθέω|to push
ὑπωλένιος|under the elbow
ὑπώμαιος|under the shoulder
ὑπωμία|the part under the shoulders
ὑπωμοσία|an oath taken to delay proceedings
ὑπωπιάζω|to strike
ὑπωπιασμός|suggillatio
ὑπώπιον|the part of the face under the eyes
ὑπώπιος|with a black eye
ὑπώρεια|the foot of a mountain, the skirts of a mountain range
ὑπώρειος|under the mountains
ὑπωρόφιος|under the roof, in the house
ὑπώροφος|under the eaves
ὑπωρυχία|the part undermined
ὕπωχρος|pale yellow, sallow
ὕραξ|mouse
ὑριχός|wicker basket, hand-basket
ὕρχη|jar (breathing as in LSJ Supp.)
ὕς|[son, > υἱός]
ὗς|wild swine
ὗς2|[Dor. whither > οἷ]
ὑσγινοβαφής|dyed scarlet
ὑσγινοειδής|scarlet in appearance
ὑσγινόεις|scarlet
ὕσγινον|from the shrub
ὑσγινόσημος|with crimson stripes
ὗσις|a raining
ὕσκλος|the latchet
ὑσκλωτός|having a ὕσκλος
ὕσμα|rain
ὑσμίνη|a fight, battle, combat
ὑσπέλεθος|swine's dung
ὗσπερ|whither
ὕσπληξ|starting contraption for races
ὑσπολέω|keep swine
ὕσπορος|Swineford
ὕσσακος|‘pussy’
ὑσσός|a javelin
ὑσσωπίτης|wine prepared with hyssop
ὕσσωπος|hyssop
ὑστάτιος|at last
ὑστέρα|the womb
ὑστεραῖος|on the day after, the next day
ὑστεραλγής|causing pains in the womb
ὑστεραλγία|pains in the womb
ὑστερέω|to be behind, come late
ὑστέρημα|deficiency, need, want
ὑστερησμός|arrears
ὑστερητικός|which comes on later
ὑστερίζω|to come after, come later
ὑστερικός|suffering in the womb, hysterical
ὑστέριος|afterbirth
ὑστεροβουλία|deliberation after the fact
ὑστερογενής|not appearing until after the birth
ὑστερογονία|posterity
ὑστερολόγος|speaking last:
ὑστερόμαντις|prophesying too late
ὑστερομηνία|the last day of the month
ὑστερόμυθος|speaking later
ὕστερον|the afterbirth
ὑστεροπάθεια|secondary affection
ὑστεροπερίοδος|with postponed principal clause
ὑστερόποινος|avenging after
ὑστερόποτμος|supposed dead, and then appearing alive
ὑστερόπους|coming late
ὑστερόπρωτος|praeposterus
ὕστερος|latter, last
ὑστεροφανής|brought to light later
ὑστεροφημία|posthumous fame
ὑστεροφθόρος|late-destroying
ὑστερόφωνος|sounding after, echoing
ὑστεροχρονία|a later time
ὑστερόχρονος|later in time
ὑστήρια|a festival
ὑστιακόν|drinking-cup
ὕστριξ|the porcupine
ὑστριχίς|a whip for punishing slaves
ὐύζω|make the sound υ υ
ὕφαδρος|somewhat thick, stout
ὕφαιμος|suffused with blood, blood-shot
ὑφαίμων|containing blood
ὑφαίνω|to weave
ὑφαίρεσις|a taking away from under, a purloining
ὑφαιρετέον|one must take away
ὑφαιρέτρια|midwife
ὑφαιρέω|to seize underneath
ὕφαλμος|somewhat salt
ὑφαλμυρίζω|to be or taste somewhat salt
ὑφάλμυρος|somewhat salt
ὕφαλος|under the sea
ὑφαλυκός|somewhat salt, brackish
ὑφαλώδης|somewhat shallow
ὕφαμμος|mixed with sand, sandy
ὕφανσις|weaving
ὑφαντεῖον|weaving-shed
ὑφάντης|a weaver
ὑφαντικός|skilled in weaving
ὑφαντοδόνητος|woven by the flight of the shuttle
ὑφαντοποιέομαι|weave a web
ὑφαντός|woven
ὕφαντρον|wage for weaving
ὑφαντών|weaving-shed
ὑφαπλόω|spread
ὑφάπλωσις|spreading under
ὑφάπτω|to set on fire from underneath
ὑφαρμόζω|fit under
ὑφαρπάζω|to snatch away from under
ὑφάρπασις|usurpatio
ὕφασμα|a woven robe, web
ὑφαύω|light underneath
ὕφεαρ|mistletoe, Viscum album
ὑφεδρεύω|lurk beneath
ὑφεδρία|a sitting under, lower seat
ὑφέζομαι|lurk beneath
ὑφειλήτης|one who filches away
ὑφειμένως|remissly, less violently
ὑφείρω|fasten under
ὑφεῖσα|I placed under
ὑφεκτέον|one must support, submit to
ὑφεκτέος|one must submit to
ὑφελκτέον|one must draw away under
ὑφελκτέος|one must draw away
ὑφελκυσμός|withdrawing
ὑφέλκω|to draw away gently
ὑφέν|in one, as a single word
ὑφεξαιρέω|make an exception of
ὕφεξις|promise
ὑφέπομαι|follow behind
ὑφέρπω|to creep on secretly
ὕφεσις|letting down, slackening
ὑφεσπέριος|towards evening, western
ὑφή|a web
ὑφηγέομαι|to go just before, to guide, lead
ὑφήγημα|direction
ὑφηγηματικός|expository
ὑφήγησις|a guiding, guidance
ὑφηγητέον|one must guide, teach
ὑφηγητής|one who leads the way, a guide, leader
ὑφηγητικός|fitted for guiding
ὑφήλιος|under the sun
ὕφημαι|sit under
ὑφημιόλιος|in the ratio of 1 to 1 1/2, i. e. 2/3
ὑφηνιοχέω|to be a ὑφηνίοχος
ὑφηνίοχος|the charioteer, as subordinate to the warrior
ὑφήσσων|somewhat less
ὑφιδρόω|perspire slightly
ὑφιδρύω|subordinate, place under control of
ὑφιέρεια|assistant priestess
ὑφιζάνω|to crouch beneath
ὑφίζησις|a settling
ὑφίζω|to sit down, crouch
ὑφίημι|to let down
ὑφικάνω|to steal over
ὑφίσταμι|set beneath
ὑφίστημι|to place under; mid. to submit, to promise
ὑφοδόω|guide
ὑφόλμιον|mortar-stand
ὑφόρασις|suspicion
ὑφορατέον|one must suspect
ὑφοράω|to look at from below, view with suspicion
ὑφορβέω|herd pigs
ὑφορθόω|re-erect
ὑφόρθωσις|restoration
ὑφορμάω|to be in motion under
ὑφορμέω|to lie secretly at anchor
ὑφορμίζομαι|to come to anchor secretly
ὑφόρμιον|necklace
ὑφόρμισις|harbour, anchorage
ὑφορμιστήρ|one who makes fast below
ὕφορμος|an anchorage
ὕφος|web
ὕφυγρος|somewhat moist
ὕφυδρος|under water
ὑφυπνόομαι|become sleepy
ὔχηρος|gratuity
ὑψαγόρας|a big talker, boaster, braggart
ὑψαυχενέω|carry the neck high, show off
ὑψαυχενίζω|to carry the neck high, shew off
ὑψαύχην|carrying the neck high
ὑψαυχής|high-vaunting
ὑψερεφής|high-roofed, high-vaulted
ὑψηγορέω|talk big
ὑψηγορία|stateliness of phrase, lofty expression
ὑψήγορος|talking big, grandiloquent, vaunting
ὑψηλαυχενία|a carrying the neck high
ὑψηλογνώμων|high-minded, proud
ὑψηλοκάρδιος|high-hearted, proud
ὑψηλόκρημνος|with lofty cliffs
ὑψηλολογέομαι|to talk high, speak proudly
ὑψηλολογία|vaunting
ὑψηλολόγος|talking high, vaunting
ὑψηλόνοος|high-minded
ὑψηλόνωτος|high-backed
ὑψηλοπέτης|high-flying
ὑψηλοποιός|producing loftiness
ὑψηλόπους|high-footed
ὑψηλός|high, lofty, high-raised
ὑψηλοτάπεινος|now high, now low
ὑψηλοταπείνωμα|ups and downs of fortune, vicissitudes
ὑψηλότης|loftiness, sublimity
ὑψηλοτράχηλος|high-necked
ὑψηλοφανής|appearing sublime
ὑψηλοφόρος|exalted
ὑψηλοφρονέω|to be high-minded
ὑψηλοφρονία|haughtiness
ὑψηλόφρων|high-minded, high-spirited, haughty
ὑψηλοφυής|of a high growth
ὑψηλόφωνος|with high
ὑψήλωσις|a rising, swelling up
ὑψήνωρ|raising
ὑψηχέω|sound high
ὑψηχής|high-sounding
ὕψι|on high, aloft
ὑψιάγυια|with stately streets
ὑψίβατος|set on high, high-placed
ὑψιβίας|high and mighty
ὑψιβόας|loud-shouter
ὑψιβόης|loud-shouter
ὑψιβρεμέτης|high-thundering
ὑψιγέννητος|born on high
ὑψίγονος|produced on high
ὑψίγυιος|with high limbs, high-stemmed
ὑψιδαίδαλτος|high and richly wrought
ὑψίδειρος|with high cliffs
ὑψίδομος|high-built
ὑψίζυγος|sitting high on the benches;
ὑψίζωνος|high-girded
ὑψίθρονος|high-throned
ὑψικάρηνος|high-topped
ὑψικέλευθος|wandering on high
ὑψίκερας|high peaked
ὑψίκερως|high-horned
ὑψικόλωνος|high
ὑψίκομος|with lofty foliage, towering
ὑψίκομπος|high boasting, arrogant
ὑψικραν[ά]εσσα|high and rugged
ὑψικρατέω|rule aloft
ὑψικρεμής|suspended on high
ὑψίκρημνος|with high crags
ὑψίκροτος|loftily resounding
ὑψίλοφος|high-crested
ὑψίλυχνος|by a light hung on high
ὑψιμέδων|ruling on high
ὑψιμέλαθρος|high-built
ὑψινεφής|dwelling high in the clouds
ὑψίνομος|feeding on high places
ὑψίνοος|arrogant
ὑψιπαγής|high-built, towering
ὑψίπεδος|with high ground, high-placed
ὑψιπέτας|high-flying
ὑψιπέτηλος|with high foliage, towering
ὑψιπέτης|high-flying, soaring
ὑψιπετής|fallen from heaven
ὑψίπολις|high or honored in the city
ὑψίπολος|soaring on high
ὑψίπορος|with lofty path
ὑψιπότητος|flying aloft, soaring
ὑψίπους|high-footed
ὑψίπρυμνος|with high stern
ὑψίπρῳρος|with high prow
ὑψίπυλος|with high gates
ὑψίπυργος|high-towered
ὑψίστολος|high-girded, well girt
ὕψιστος|highest, loftiest
ὑψιτέλεστος|late-finished
ὑψιτενέω|aim high
ὑψιτενής|stretched on high
ὑψιτένων|with high-strained sinews, strong-necked
ὑψίτερος|loftier
ὑψιτέχνης|of lofty art
ὑψίτυχος|reaching a height of fortune
ὑψιφαής|high-shining, far-seen
ὑψιφοίτης|one who wanders
ὑψιφόρητος|high-borne, lofty
ὑψίφρων|high-minded, haughty
ὑψιχαίτας|with high piled hair
ὑψιχαίτης|long-haired
ὑψίων|loftier
ὑψόθεν|from on high, from aloft, from above
ὑψόθι|aloft, on high
ὕψοι|upwards
ὑψοκράτωρ|lord of the ὕψωμα
ὑψόροφος|high-roofed, high-ceiled
ὕψος|height
ὑψόσε|aloft, on high, up high
ὑψοταπείνωμα|variation of fortune, vicissitude
ὑψοτάτω|most highly
ὑψοῦ|aloft, on high
ὑψόφθαλμος|with prominent eyes
ὑψόφωνος|with high, shrill voice
ὑψόω|to lift high, raise up
ὕψωμα|elevation, height
ὕψωσις|a raising high
ὑψωτής|one who exalts
ὑψωτικός|containing the exaltation of a planet
ὕω|to send rain, to rain
ὑώδης|swinish
ὑωδία|swinishness
ὑών|pig-pen
φαάντατος|brightest
φαάντερος|brighter
φάβα|(fava) beans
φάβα2|[lexical cite]
φαβατάριον|tureen for lentil-soup
φαβάτινος|made of beans
φαβοκτόνος|dove killer
φαβοτύπος|dove-striker
φαγᾶς|glutton
φαγέδαινα|cancerous sore, canker
φαγεδαινικός|of the nature of a cancer
φαγεδαινόομαι|suffer from cancer
φαγεῖν|to eat, devour
φαγέσωρος|glutton
φάγημα|food, victuals
φαγήσια|an eating-festival
φάγιλος|a lamb
φαγολοίδορος|swallower of insults
φαγός|a glutton
φάγος|glutton
φάγρος|sea-bream
φάγων|glutton
φαεθοντίς|shining
φαέθω|to shine
φαέθων|beaming, radiant
φαεινός|shining, beaming, radiant
φαείνω|shine, give light
φαεσίμβροτος|bringing light to mortals
φαεσφορέω|bring light
φαεσφορία|bringing of light, illumination
φαεσφόρος|light-bringing
φάζαινα|disease
φαζάλη|disease
Φαίαξ|a Phaeacian
φαίδιμος|shining
φαιδροείμων|in bright attire
φαιδρόνους|with bright, joyous mind
φαιδρόομαι|to beam with joy
φαιδρός|bright, beaming
φαιδρότης|brightness: joyousness
φαιδρυντής|a cleanser, washer
φαιδρύντρια|washer
φαιδρύνω|to make bright, to cleanse
φαιδρωπός|with bright, joyous look
Φαίηκες|Phaeacians
φαικάς|a white shoe
φαίκλα|faecula, burnt wine-crust, salt of tartar
φαινίνδα|at ball
φαινόλη|paenula, thick upper garment, cloak
φαινόλις|light-bringing
φαινομένως|apparently
φαινομηρίς|showing the thigh, with bare thigh
φαινόπους|with shining feet
φαινοπροσωπέω|show one's face, put in an appearance
φαινοῦκλον|foeniculum
φαῖνοψ|bright-eyed, conspicuous
φαίνω|to bring to light, make to appear
φαίνων|shiner
φαιός|dusky, dun, gray
φαιουρός|sable-tailed
φαιοχίτων|dark-robed
φακεινοπώλιον|shop where lentil soup is sold
φάκελος|a bundle, fagot
φακεψός|one who boils lentil soup
φακῆ|a dish of lentils
φάκηλος|the middle finger
φακιάλιον|face-cloth, turban, towel
φακινᾶς|lentil-seller
φάκινος|made of lentils
φάκιον|decoction of lentils
φακοειδής|lentiform
φακόμελι|compound of lentils and honey
φακοπτισάνη|a decoction of lentils and barley
φακοπώλιον|lentil-shop
φακός|lentil
φακουσιακός|from
φάκοψις|with moles
φακώδης|lentil-coloured
φάκωσις|a being freckled
φακωτός|lentil-shaped
φαλαγγάρχης|commander of a φαλαγγαρχία
φαλαγγαρχία|corps of 4096
φαλαγγηδόν|in phalanxes
φαλαγγιάω|to be venomous
φαλαγγιόδηκτος|bitten by a venomous spider
φαλαγγιόπληκτος|stung by a venomous spider
φαλαγγίτης|soldier in a phalanx
φαλαγγιτικός|armed like the phalanx
φαλαγγομαχέω|to fight in a phalanx
φαλαγγομάχης|one who fights in the phalanx
φαλαγγόω|furnish with rollers
φαλάγγωμα|roller
φαλάγγωσις|relaxation
φαλαγκτήριον|block of wood
φάλαγξ|a line of battle, battle-array
φαλαίκειον|used by the poet Phalaecus
φαλάκρα|bald bare hill
φαλακριάω|to be baldheaded
φαλακροειδής|rather bald
φαλακρόομαι|to become bald
φαλακρός|baldheaded, bald
φαλακρότης|baldness on the crown
φαλάκρωμα|bald head
φαλάκρωσις|a becoming bald, baldness
φάλανθος|bald in front
φαλαντίας|a bald man
φαλάντωμα|bald place
φάλαρ|plates
φάλαρα|bosses
φαλαρίς|the coot
φαλαρισμός|tyranny, like that of Phalaris
φαλαρῖτις|furnished with φάλαρα
φάλαρος|having a patch of white
φαλεροῦχος|phalera
Φαληρεύς|a Phalerian, inhabitant of Φάληρον
φαληριάω|to be patched with white
Φαληρικός|of or from Phaleron
Φαλῆς|Phales
φαλιόπους|white-footed
φαλίπτει|to be white
φάλκης|rib
φαλκίδιον|the minimum share of an estate which must be left to the heirs under the Lex Falcidia
φαλλαγωγεῖον|platform
φαλλαγωγία|carrying of the phallus
φάλλαινα|a whale
φαλληφορέω|carry a phallus in procession
Φαλληφόρια|festival of Dionysus, in which a phallus was carried in the procession
φαλλοβάτης|one who mounts on a phallusshaped pillar, phallic priest
φαλλός|phallus, figure of a phallus
φάλος|horn of a helmet
φαλός|shining, white
φαλωτός|furnished with
φαμί|say
φαμιλία|familia
φαμιλιάριος|familiaris
φαμιστός|famous
φαναῖος|giving or bringing light
φάναξ|lanterna
φανάπτης|lamplighter
φανδόν|openly
φανερομισής|openly hating
φανερόμισος|openly hating
φανεροποιέω|explain, reveal
φανεροποίησις|illustration, explanation
φανερός|open to sight, visible, manifest, evident
φανερότης|display, show
φανερόφιλος|openly loving, an open friend
φανερόω|to make manifest
φανέρωσις|disclosure
φανερωτής|one who makes manifest
φανή|a torch a torch-procession
φανητιασμός|love of show and ostentation
φανόπτης|opening for light, window
φανός2|a torch
φανότης|brightness, clearness
φάνσις|morning twilight
φαντάζομαι|to become visible, appear, shew oneself
φαντάζω|make visible, present to the eye
φαντασία|imagination, the power by which an object is presented
φαντασιάζομαι|to be presented to the mind
φαντασιαστής|one who is fond of display
φαντασιαστικός|receptive of impressions
φαντασιοκοπέω|indulge vain fancies
φαντασιοκόπος|conceiving vain fancies
φαντασιοπλήκτως|like one who is mad on showing off
φαντασιόω|bring images before the mind of
φάντασις|portents
φαντασιώδης|fantastic
φάντασμα|an appearance, phantasm, phantom
φαντασμάτιον|miserable phantom
φαντασμός|mental image
φανταστής|one who makes a parade, boaster
φανταστός|acting upon the φαντασία
φαντικός|significant
φαντός|visible
φάντωρ|one who displays
φάος|light, daylight
φαοστασία|etymological coinage for φαντασία
φάρ|far, spelt
φαραγγίτης|of, from a gully
φαραγγόω|convert into gullies
φαραγγώδης|full of chasms
φάραγξ|a cleft
φαρανίτης|native of Φαράν (between Palestine and Egypt)
φαρανῖτις|a kind of amethyst found at
φαράω|plough
φάργμα|enclosure, precinct
φαρέτρα|a quiver
φαρέτρη|quiver
φαρετρίτης|member of a military club
φαρετροφόρος|quiver-bearing
φαρία|vessel
φαρικόν|poison
φάρινος|of cloth
φαρισαῖος|a Pharisee, Separatist
φαρκιδόομαι|to be wrinkled
φαρκιδώδης|wrinkled
φαρκίς|wrinkle
φαρκτόομαι|guard oneself
φαρμακάω|to suffer from the effect of poison, to be ill
φαρμάκεια|sorceress
φαρμακεία|the use of drugs, potions, spells
φαρμακεργάτης|apothecary
φαρμακεύς|a poisoner, sorcerer
φαρμακευτέον|one must use a purge
φαρμακεύω|to administer a drug
φαρμακηρός|treated with preservatives
φαρμάκιον|mild remedy
φαρμακίς|a sorceress, witch
φαρμακίτης|drugged
φαρμακίων|pharmacist
φαρμακοδοσία|poisoning
φαρμακόεις|poisoned
φαρμακοθήκη|medicine-chest
φαρμακόμαντις|one who is at once
φάρμακον|a drug, medicine
φαρμακοποιέω|prepare dyes
φαρμακοποιία|preparation of drugs
φαρμακοποιός|preparing drugs
φαρμακοποσία|a drinking of medicine
φαρμακοποτέω|drink medicine
φαρμακοπωλέω|to be a druggist
φαρμακοπώλης|a dealer in drugs
φαρμακός|one sacrificed, scapegoat
φάρμακος|poisoner, sorcerer, magician
φαρμακοτρίβης|one who grinds drugs
φαρμακοφόρος|producing drugs
φαρμακόω|to endue with healing power
φαρμακτός|poisoned
φαρμακώδης|of the nature of a φάρμακον
φαρμακών|dye-house
φάρμαξις|medical treatment
φαρμάσσω|to treat by using φάρμακα
Φαρνάκειος|of Pharnaces
φάρξις|fencing
φᾶρος|a large piece of cloth, a web
Φάρος|Pharos (island near Alexandria; island in Adriatic (sts. m.))
φάρος|pharynx
φάρος2|plough
φάρσος|a part, portion
φαρσοφόρος|signifer, vexillarius
φάρσωμα|ship's timbers
φαρυγγοτομία|laryngotomy
φαρυγίνδην|like a gulf
φάρυγξ|the throat, gullet
φάσαξ|informer
φασγανίς|knives and scissors
φάσγανον|a sword
φασγανουργός|forging swords
φασγάνω|slaughter with the sword
φασηλοειδής|like the φάσηλος Ι
φάσηλος|bean; light boat, canoe
Φασιανός|from the river Phasis
φάσιμος|denounced, informed against
φάσις|an accusation; appearance (φαίνω)
Φᾶσις|the river Phasis
φάσις2|a statement, claim, assertion (φημί)
φασκάς|duck
φασκία|fascia, bandage, strip
φάσκον|fascis, bundle
φάσκω|to say, affirm, assert
φάσκωλος|leathern bag, wallet, scrip
φάσμα|an apparition, phantom
φασματιάω|see visions
φασματολογέω|to speak of prodigies
φασματοφάνεια|spectral apparition
φασματώδης|like a vision
φάσσα|a wild pigeon, ringdove
φάσσιον|palumbina
φασσοφόνος|dove-killing
φατειός|utterable
φατέον|one must say
φατέος|one must say
φάτης|talker, liar
φατίζω|to say, speak, report
φατικός|assertory
φάτις|a voice from heaven, the voice of an oracle, an oracle
φάτνα|manger
φατνεύω|feed at the manger
φάτνη|a manger, crib, feeding-trough
φατνίζομαι|to be kept at rack and manger
φατνίον|socket
φατνόω|roof, ceil
φάτνωμα|coffered work
φατνωματικός|coffered
φάτνωσις|ceiling in coffers
φατνωτός|coffered
φατός|that may be spoken
φατός2|slain, dead
φατριά|brother's wife
φαττάγης|pangolin
φαυλεπίφαυλος|bad upon bad, bad as bad can be
φαυλίζω|to hold cheap, to depreciate, disparage
φαύλιος|coarse
φαύλισμα|disparagement, contempt
φαυλίστρια|she that despises
φαυλόβιος|living disreputably
φαυλόνους|ill-disposed
φαυλορρημόνως|speaking evilly
φαῦλος|slight, indifferent, trivial, common, simple
φαυλότης|meanness, paltriness, pettiness, badness
φαυλουργός|working ill
φαῦσιγξ|blister from burning
φαῦσις|lighting, illumination
φαυστήρ|lamp
φάψ|wild pigeon
φάω|to give light, shine
φέβομαι|to be put to flight, flee affrighted
φεγγοβολέω|shine
φέγγος|light, splendour, lustre
φέγγω|to make bright
φειδαλφιτέω|to be sparing of barley
Φειδιακός|made by Phidias
φείδομαι|to spare
φειδομένως|sparingly, thriftily
φειδός|sparing, thrifty
φειδώ|a sparing
φειδωλός|sparing, thrifty
φείδων|an oil-can with a narrow neck, that lets only a little run out
φειδώς|parsimonia
φεισμονή|sparing, mercy
φειστέον|one must spare
φειστέος|one must spare
φέκλη|faecula, burnt wine-crust, salt of tartar
φελλάτας|stone
φελλεύς|stony ground
φελλεύω|float like a cork
φέλλινος|made of cork
φελλόδρυς|holm-oak, Quercus Ilex
φελλόπους|cork-footed
φελλός|the cork-tree
φελλοχαλαστέω|loosen corks
Φελλώ|Cork-land
φελλώδης|of cork
φεν|kill, slay;
φενάκη|false hair, a wig
φενακίζω|to play the φέναξ, cheat, lie
φενακικῶς|with a pun
φενακισμός|cheatery, quackery, imposition
φενακιστικός|cheating
φέναξ|a cheat, quack, impostor
φεννῆσι|priest of Isis (Eg.)
φεννησία|office of φεννῆσι, priest of Isis
φεννίον|a game of ball
φένω|to slay: see θείνω
φεράλιος|bringing sunshine
φερανθής|flower-bringing
φέρασπις|shield-bearing
φεραυγής|bringing light
φερβήτης|herdsman
φέρβω|to feed, nourish
φερεαυγής|bringing light
φερέβοτρυς|bearing bunches of grapes
φερέγγυος|giving surety
φερεγλαγής|bringing
φερέζυγος|bearing the yoke
φερέζωος|bringing life
φερέκακος|inured to toil
φερέκαρπος|yielding fruit
φερεκλεής|renowned
φερέκοσμος|ornamental
φερεκράτειον|used by Pherecrates
φερεκυδής|renowned
φερεμμελίης|spear-bearing
φερένικος|carrying off victory
φερέοικος|carrying one's house with one
φερέοινος|wine-bearing
φερέπολις|upholding the city
φερεπονέω|endure toil
φερεπονία|patience in toil
φερέπονος|bringing toil and trouble
φερέπτερος|bearing wings, winged
φερεπτόλεμος|warlike
φερέσβιος|life-giving
φερεσσακής|shield-bearing
φερεστάφυλος|yielding bunches of grapes
φερέσταχυς|bearing ears of corn
φερεστέφανος|bringing victory
φερετρεύομαι|to be carried on a litter
φερέτριος|Feretrius
φέρετρον|a bier, litter
φέρμα|that which is borne, the fruit of the womb
φερνή|dowry
φερνίζω|portion, endow
φέρνιον|fish-basket
φέροικος|squirrel
φερόλβιος|bringing happiness
φέροπλος|bearing arms
Φερρεφάττιον|sanctuary of Persephone
φέρτατος|bravest, best
φέρτερος|better
φερτός|endurable
φέρω|to bear
φερωνυμέομαι|bear a name from
φερωνυμία|name received from
φερώνυμος|bearing the name of, named after
φετιάλιοι|Fetiales
φεῦ|ah! alas! woe!
φεύγυδρος|shunning water
φεύγω|to flee, take flight, run away
φεύζω|to cry φεῦ
φευκτέον|one must flee
φευκτέος|one must flee
φευκτιάω|wish to flee
φευκτικός|inclined to avoid
φευκτός|to be shunned
φευξείω|to wish to escape
φευξιπ|avoiding trouble
φεψαλόομαι|to be burnt to ashes
φέψαλος|a spark, piece of the embers
φέως|Poterium spinosum
φήγινος|oaken
φηγός|oak; acorn
φηγότευκτος|oaken
φηγών|oak-grove
φήληξ|a wild fig
φηλητεύω|to cheat, deceive (LSJ φιλητεύω)
φηλητής|a knave, thief (LSJ φιλήτης)
φῆλος|deceitful
φηλόω|to cheat, deceive
φήλωμα|deception, cheat
φήλωσις|deceit
φῆμα|that which is said, word
φήμη|a voice from heaven, a prophetic voice
φημί|to say, to claim
φημίζω|to utter a voice
φῆμις|speech, talk
φημοσύνη|oracular utterance
φήνη|Lammergeier (Dunbar on Ar. Birds 304)
φήρ|Centaur; satyr; wild beast
φήρεα|swelling of the parotid glands
φηρομανής|game-mad, madly fond of wild animals
φθάνω|to come or do first, before others
φθάρμα|corruption, outcast
φθαρσία|destruction
φθαρτικός|destructive of
φθαρτός|perishable
φθαστέον|one must anticipate
φθέγγομαι|to utter a sound
φθεγκτικός|vocal
φθεγκτός|capable of being sounded
φθέγμα|the sound of the voice, a voice
φθεγματικός|vocal
φθέγξις|speech, utterance
φθείρ|a louse
φθειράριος|lousy
φθειρίασις|the morbus pedicularis
φθειρίαω|to be lousy
φθειριάω|to have morbus pedicularis
φθειρίζομαι|pick the lice off oneself
φθειρισμός|picking lice
φθειριστικός|seeking lice
φθειρόβρωτος|lice-eaten
φθειρογράφος|name of a plaster
φθειροκομίδης|lousy fellow
φθειροκτονέω|kill lice
φθειροποιός|producing lice
φθειροτραγέω|to eat fir-cones; eat lice (Powell)
φθειροφάγοι|lice-eaters
φθείρω|to ruin, waste, spoil, destroy
φθειρώδης|infested by lice, lousy
φθερσιγενής|destroying the race
φθίδιος|perishable
Φθίη|Phthia
Φθίηνδε|to Phthia
Φθίηφι|at Phthia
φθίνα|mildew
φθινάς|waning
φθίνασμα|a declining, sinking
φθινόκαρπος|having lost fruitfulness
φθινόκωλος|with wasting limbs
φθινοπωρινός|autumnal
φθινοπωρίς|autumnal
φθινόπωρον|late autumn, the fall of the year
φθινύθω|to waste, consume
φθίνυλλα|starveling
φθινώδης|consumptive
φθισήνωρ|destroying
φθισιάω|to be consumptive
φθισικεύομαι|to be consumptive
φθισικός|consumptive
φθισίμβροτος|destroying men
φθίσις|a perishing, decay
φθισίφρων|destroying the mind
φθιτός|dead
φθίω|to decay, wane, dwindle
